"행정구역별(시군구)","성별","연령별","항목","단위","2019 년",
"서울특별시","계","15세미만","1세대가구-가구주+기타 친인척","","392",
"서울특별시","계","15세미만","1세대가구-기타","","322",
"서울특별시","계","15세미만","2세대가구-계","","858829",
"서울특별시","계","15세미만","2세대가구-부부+미혼자녀","","735604",
"서울특별시","계","15세미만","2세대가구-부+미혼자녀","","22883",
"서울특별시","계","15세미만","2세대가구-모+미혼자녀","","55847",
"서울특별시","계","15세미만","2세대가구-부부+양친","","X",
"서울특별시","계","15세미만","2세대가구-부부+한부모","","X",
"서울특별시","계","15세미만","2세대가구-부부+미혼자녀+부부미혼형제자매","","13625",
"서울특별시","계","15세미만","2세대가구-조부모+미혼손자녀","","5535",
"서울특별시","계","15세미만","2세대가구-조부 또는 조모+미혼손자녀","","3036",
"서울특별시","계","15세미만","2세대가구-기타","","22299",
"서울특별시","계","15세미만","3세대가구-계","","120287",
"서울특별시","계","15세미만","3세대가구-부부+미혼자녀+양친","","20698",
"서울특별시","계","15세미만","3세대가구-부부+미혼자녀+부친","","12142",
"서울특별시","계","15세미만","3세대가구-부부+미혼자녀+모친","","42334",
"서울특별시","계","15세미만","3세대가구-기타","","45113",
"서울특별시","계","15세미만","4세대이상 가구","","1373",
"서울특별시","계","15세미만","1인가구","","16",
"서울특별시","계","15세미만","비친족가구","","1384",
"서울특별시","계","15~19세","일반가구원","","402343",
"서울특별시","계","15~19세","1세대가구-계","","3638",
"서울특별시","계","15~19세","1세대가구-부부","","36",
"서울특별시","계","15~19세","1세대가구-부부+미혼형제자매","","18",
"서울특별시","계","15~19세","1세대가구-부부+기타 친인척","","30",
"서울특별시","계","15~19세","1세대가구-가구주+미혼형제자매","","3202",
"서울특별시","계","15~19세","1세대가구-가구주+기타 친인척","","185",
"서울특별시","계","15~19세","1세대가구-기타","","167",
"서울특별시","계","15~19세","2세대가구-계","","342121",
"서울특별시","계","15~19세","2세대가구-부부+미혼자녀","","262601",
"서울특별시","계","15~19세","2세대가구-부+미혼자녀","","15002",
"서울특별시","계","15~19세","2세대가구-모+미혼자녀","","45655",
"서울특별시","계","15~19세","2세대가구-부부+양친","","11",
"서울특별시","계","15~19세","2세대가구-부부+한부모","","10",
"서울특별시","계","15~19세","2세대가구-부부+미혼자녀+부부미혼형제자매","","3382",
"서울특별시","계","15~19세","2세대가구-조부모+미혼손자녀","","1512",
"서울특별시","계","15~19세","2세대가구-조부 또는 조모+미혼손자녀","","1829",
"서울특별시","계","15~19세","2세대가구-기타","","12119",
"서울특별시","계","15~19세","3세대가구-계","","42026",
"서울특별시","계","15~19세","3세대가구-부부+미혼자녀+양친","","4593",
"서울특별시","계","15~19세","3세대가구-부부+미혼자녀+부친","","3505",
"서울특별시","계","15~19세","3세대가구-부부+미혼자녀+모친","","17124",
"서울특별시","계","15~19세","3세대가구-기타","","16804",
"서울특별시","계","15~19세","4세대이상 가구","","96",
"서울특별시","계","15~19세","1인가구","","12790",
"서울특별시","계","15~19세","비친족가구","","1672",
"서울특별시","계","20~24세","일반가구원","","548245",
"서울특별시","계","20~24세","1세대가구-계","","22362",
"서울특별시","계","20~24세","1세대가구-부부","","1194",
"서울특별시","계","20~24세","1세대가구-부부+미혼형제자매","","151",
"서울특별시","계","20~24세","1세대가구-부부+기타 친인척","","78",
"서울특별시","계","20~24세","1세대가구-가구주+미혼형제자매","","19539",
"서울특별시","계","20~24세","1세대가구-가구주+기타 친인척","","668",
"서울특별시","계","20~24세","1세대가구-기타","","732",
"서울특별시","계","20~24세","2세대가구-계","","358687",
"서울특별시","계","20~24세","2세대가구-부부+미혼자녀","","248573",
"서울특별시","계","20~24세","2세대가구-부+미혼자녀","","20425",
"서울특별시","계","20~24세","2세대가구-모+미혼자녀","","63679",
"서울특별시","계","20~24세","2세대가구-부부+양친","","79",
"서울특별시","계","20~24세","2세대가구-부부+한부모","","113",
"서울특별시","계","20~24세","2세대가구-부부+미혼자녀+부부미혼형제자매","","2610",
"서울특별시","계","20~24세","2세대가구-조부모+미혼손자녀","","1729",
"서울특별시","계","20~24세","2세대가구-조부 또는 조모+미혼손자녀","","3308",
"서울특별시","계","20~24세","2세대가구-기타","","18171",
"서울특별시","계","20~24세","3세대가구-계","","36675",
"서울특별시","계","20~24세","3세대가구-부부+미혼자녀+양친","","2605",
"서울특별시","계","20~24세","3세대가구-부부+미혼자녀+부친","","2507",
"서울특별시","계","20~24세","3세대가구-부부+미혼자녀+모친","","14728",
"서울특별시","계","20~24세","3세대가구-기타","","16835",
"서울특별시","계","20~24세","4세대이상 가구","","114",
"서울특별시","계","20~24세","1인가구","","116592",
"서울특별시","계","20~24세","비친족가구","","13815",
"서울특별시","계","25~29세","일반가구원","","768413",
"서울특별시","계","25~29세","1세대가구-계","","71488",
"서울특별시","계","25~29세","1세대가구-부부","","27128",
"서울특별시","계","25~29세","1세대가구-부부+미혼형제자매","","930",
"서울특별시","계","25~29세","1세대가구-부부+기타 친인척","","221",
"서울특별시","계","25~29세","1세대가구-가구주+미혼형제자매","","39673",
"서울특별시","계","25~29세","1세대가구-가구주+기타 친인척","","1396",
"서울특별시","계","25~29세","1세대가구-기타","","2140",
"서울특별시","계","25~29세","2세대가구-계","","409937",
"서울특별시","계","25~29세","2세대가구-부부+미혼자녀","","268370",
"서울특별시","계","25~29세","2세대가구-부+미혼자녀","","23546",
"서울특별시","계","25~29세","2세대가구-모+미혼자녀","","77550",
"서울특별시","계","25~29세","2세대가구-부부+양친","","344",
"서울특별시","계","25~29세","2세대가구-부부+한부모","","765",
"서울특별시","계","25~29세","2세대가구-부부+미혼자녀+부부미혼형제자매","","3368",
"서울특별시","계","25~29세","2세대가구-조부모+미혼손자녀","","1340",
"서울특별시","계","25~29세","2세대가구-조부 또는 조모+미혼손자녀","","3818",
"서울특별시","계","25~29세","2세대가구-기타","","30836",
"서울특별시","계","25~29세","3세대가구-계","","33331",
"서울특별시","계","25~29세","3세대가구-부부+미혼자녀+양친","","1910",
"서울특별시","계","25~29세","3세대가구-부부+미혼자녀+부친","","1892",
"서울특별시","계","25~29세","3세대가구-부부+미혼자녀+모친","","13365",
"서울특별시","계","25~29세","3세대가구-기타","","16164",
"서울특별시","계","25~29세","4세대이상 가구","","263",
"서울특별시","계","25~29세","1인가구","","216707",
"서울특별시","계","25~29세","비친족가구","","36687",
"서울특별시","계","30~34세","일반가구원","","687804",
"서울특별시","계","30~34세","1세대가구-계","","117506",
"서울특별시","계","30~34세","1세대가구-부부","","85360",
"서울특별시","계","30~34세","1세대가구-부부+미혼형제자매","","1947",
"서울특별시","계","30~34세","1세대가구-부부+기타 친인척","","257",
"서울특별시","계","30~34세","1세대가구-가구주+미혼형제자매","","25930",
"서울특별시","계","30~34세","1세대가구-가구주+기타 친인척","","1133",
"서울특별시","계","30~34세","1세대가구-기타","","2879",
"서울특별시","계","30~34세","2세대가구-계","","345575",
"서울특별시","계","30~34세","2세대가구-부부+미혼자녀","","238029",
"서울특별시","계","30~34세","2세대가구-부+미혼자녀","","14700",
"서울특별시","계","30~34세","2세대가구-모+미혼자녀","","52733",
"서울특별시","계","30~34세","2세대가구-부부+양친","","1119",
"서울특별시","계","30~34세","2세대가구-부부+한부모","","2451",
"서울특별시","계","30~34세","2세대가구-부부+미혼자녀+부부미혼형제자매","","4944",
"서울특별시","계","30~34세","2세대가구-조부모+미혼손자녀","","431",
"서울특별시","계","30~34세","2세대가구-조부 또는 조모+미혼손자녀","","1982",
"서울특별시","계","30~34세","2세대가구-기타","","29186",
"서울특별시","계","30~34세","3세대가구-계","","27742",
"서울특별시","계","30~34세","3세대가구-부부+미혼자녀+양친","","3236",
"서울특별시","계","30~34세","3세대가구-부부+미혼자녀+부친","","2224",
"서울특별시","계","30~34세","3세대가구-부부+미혼자녀+모친","","8931",
"서울특별시","계","30~34세","3세대가구-기타","","13351",
"서울특별시","계","30~34세","4세대이상 가구","","449",
"서울특별시","계","30~34세","1인가구","","166340",
"서울특별시","계","30~34세","비친족가구","","30192",
"서울특별시","계","35~39세","일반가구원","","746830",
"서울특별시","계","35~39세","1세대가구-계","","90867",
"서울특별시","계","35~39세","1세대가구-부부","","69468",
"서울특별시","계","35~39세","1세대가구-부부+미혼형제자매","","1721",
"서울특별시","계","35~39세","1세대가구-부부+기타 친인척","","225",
"서울특별시","계","35~39세","1세대가구-가구주+미혼형제자매","","15253",
"서울특별시","계","35~39세","1세대가구-가구주+기타 친인척","","949",
"서울특별시","계","35~39세","1세대가구-기타","","3251",
"서울특별시","계","35~39세","2세대가구-계","","465816",
"서울특별시","계","35~39세","2세대가구-부부+미혼자녀","","356424",
"서울특별시","계","35~39세","2세대가구-부+미혼자녀","","12976",
"서울특별시","계","35~39세","2세대가구-모+미혼자녀","","49416",
"서울특별시","계","35~39세","2세대가구-부부+양친","","1308",
"서울특별시","계","35~39세","2세대가구-부부+한부모","","3095",
"서울특별시","계","35~39세","2세대가구-부부+미혼자녀+부부미혼형제자매","","8837",
"서울특별시","계","35~39세","2세대가구-조부모+미혼손자녀","","80",
"서울특별시","계","35~39세","2세대가구-조부 또는 조모+미혼손자녀","","734",
"서울특별시","계","35~39세","2세대가구-기타","","32946",
"서울특별시","계","35~39세","3세대가구-계","","47416",
"서울특별시","계","35~39세","3세대가구-부부+미혼자녀+양친","","8640",
"서울특별시","계","35~39세","3세대가구-부부+미혼자녀+부친","","4997",
"서울특별시","계","35~39세","3세대가구-부부+미혼자녀+모친","","15320",
"서울특별시","계","35~39세","3세대가구-기타","","18459",
"서울특별시","계","35~39세","4세대이상 가구","","580",
"서울특별시","계","35~39세","1인가구","","121980",
"서울특별시","계","35~39세","비친족가구","","20171",
"서울특별시","계","40~44세","일반가구원","","677660",
"서울특별시","계","40~44세","1세대가구-계","","55381",
"서울특별시","계","40~44세","1세대가구-부부","","40437",
"서울특별시","계","40~44세","1세대가구-부부+미혼형제자매","","1120",
"서울특별시","계","40~44세","1세대가구-부부+기타 친인척","","207",
"서울특별시","계","40~44세","1세대가구-가구주+미혼형제자매","","9490",
"서울특별시","계","40~44세","1세대가구-가구주+기타 친인척","","730",
"서울특별시","계","40~44세","1세대가구-기타","","3397",
"서울특별시","계","40~44세","2세대가구-계","","469182",
"서울특별시","계","40~44세","2세대가구-부부+미혼자녀","","364302",
"서울특별시","계","40~44세","2세대가구-부+미혼자녀","","11109",
"서울특별시","계","40~44세","2세대가구-모+미혼자녀","","47663",
"서울특별시","계","40~44세","2세대가구-부부+양친","","966",
"서울특별시","계","40~44세","2세대가구-부부+한부모","","2612",
"서울특별시","계","40~44세","2세대가구-부부+미혼자녀+부부미혼형제자매","","8768",
"서울특별시","계","40~44세","2세대가구-조부모+미혼손자녀","","10",
"서울특별시","계","40~44세","2세대가구-조부 또는 조모+미혼손자녀","","187",
"서울특별시","계","40~44세","2세대가구-기타","","33565",
"서울특별시","계","40~44세","3세대가구-계","","53916",
"서울특별시","계","40~44세","3세대가구-부부+미혼자녀+양친","","9251",
"서울특별시","계","40~44세","3세대가구-부부+미혼자녀+부친","","5329",
"서울특별시","계","40~44세","3세대가구-부부+미혼자녀+모친","","20106",
"서울특별시","계","40~44세","3세대가구-기타","","19230",
"서울특별시","계","40~44세","4세대이상 가구","","335",
"서울특별시","계","40~44세","1인가구","","85728",
"서울특별시","계","40~44세","비친족가구","","13118",
"서울특별시","계","45~49세","일반가구원","","782455",
"서울특별시","계","45~49세","1세대가구-계","","65646",
"서울특별시","계","45~49세","1세대가구-부부","","51147",
"서울특별시","계","45~49세","1세대가구-부부+미혼형제자매","","1162",
"서울특별시","계","45~49세","1세대가구-부부+기타 친인척","","198",
"서울특별시","계","45~49세","1세대가구-가구주+미혼형제자매","","7602",
"서울특별시","계","45~49세","1세대가구-가구주+기타 친인척","","709",
"서울특별시","계","45~49세","1세대가구-기타","","4828",
"서울특별시","계","45~49세","2세대가구-계","","551103",
"서울특별시","계","45~49세","2세대가구-부부+미혼자녀","","416052",
"서울특별시","계","45~49세","2세대가구-부+미혼자녀","","14082",
"서울특별시","계","45~49세","2세대가구-모+미혼자녀","","64914",
"서울특별시","계","45~49세","2세대가구-부부+양친","","949",
"서울특별시","계","45~49세","2세대가구-부부+한부모","","3550",
"서울특별시","계","45~49세","2세대가구-부부+미혼자녀+부부미혼형제자매","","8441",
"서울특별시","계","45~49세","2세대가구-조부모+미혼손자녀","","10",
"서울특별시","계","45~49세","2세대가구-조부 또는 조모+미혼손자녀","","42",
"서울특별시","계","45~49세","2세대가구-기타","","43063",
"서울특별시","계","45~49세","3세대가구-계","","62649",
"서울특별시","계","45~49세","3세대가구-부부+미혼자녀+양친","","8028",
"서울특별시","계","45~49세","3세대가구-부부+미혼자녀+부친","","5628",
"서울특별시","계","45~49세","3세대가구-부부+미혼자녀+모친","","26230",
"서울특별시","계","45~49세","3세대가구-기타","","22763",
"서울특별시","계","45~49세","4세대이상 가구","","157",
"서울특별시","계","45~49세","1인가구","","90140",
"서울특별시","계","45~49세","비친족가구","","12760",
"서울특별시","계","50~54세","일반가구원","","731258",
"서울특별시","계","50~54세","1세대가구-계","","79092",
"서울특별시","계","50~54세","1세대가구-부부","","67128",
"서울특별시","계","50~54세","1세대가구-부부+미혼형제자매","","1066",
"서울특별시","계","50~54세","1세대가구-부부+기타 친인척","","174",
"서울특별시","계","50~54세","1세대가구-가구주+미혼형제자매","","4615",
"서울특별시","계","50~54세","1세대가구-가구주+기타 친인척","","665",
"서울특별시","계","50~54세","1세대가구-기타","","5444",
"서울특별시","계","50~54세","2세대가구-계","","513278",
"서울특별시","계","50~54세","2세대가구-부부+미혼자녀","","380469",
"서울특별시","계","50~54세","2세대가구-부+미혼자녀","","16133",
"서울특별시","계","50~54세","2세대가구-모+미혼자녀","","64938",
"서울특별시","계","50~54세","2세대가구-부부+양친","","744",
"서울특별시","계","50~54세","2세대가구-부부+한부모","","3932",
"서울특별시","계","50~54세","2세대가구-부부+미혼자녀+부부미혼형제자매","","5604",
"서울특별시","계","50~54세","2세대가구-조부모+미혼손자녀","","80",
"서울특별시","계","50~54세","2세대가구-조부 또는 조모+미혼손자녀","","46",
"서울특별시","계","50~54세","2세대가구-기타","","41332",
"서울특별시","계","50~54세","3세대가구-계","","48830",
"서울특별시","계","50~54세","3세대가구-부부+미혼자녀+양친","","4187",
"서울특별시","계","50~54세","3세대가구-부부+미혼자녀+부친","","3878",
"서울특별시","계","50~54세","3세대가구-부부+미혼자녀+모친","","22600",
"서울특별시","계","50~54세","3세대가구-기타","","18165",
"서울특별시","계","50~54세","4세대이상 가구","","148",
"서울특별시","계","50~54세","1인가구","","78665",
"서울특별시","계","50~54세","비친족가구","","11245",
"서울특별시","계","55~59세","일반가구원","","728273",
"서울특별시","계","55~59세","1세대가구-계","","125060",
"서울특별시","계","55~59세","1세대가구-부부","","112652",
"서울특별시","계","55~59세","1세대가구-부부+미혼형제자매","","1198",
"서울특별시","계","55~59세","1세대가구-부부+기타 친인척","","325",
"서울특별시","계","55~59세","1세대가구-가구주+미혼형제자매","","2840",
"서울특별시","계","55~59세","1세대가구-가구주+기타 친인척","","689",
"서울특별시","계","55~59세","1세대가구-기타","","7356",
"서울특별시","계","55~59세","2세대가구-계","","466000",
"서울특별시","계","55~59세","2세대가구-부부+미혼자녀","","334463",
"서울특별시","계","55~59세","2세대가구-부+미혼자녀","","17843",
"서울특별시","계","55~59세","2세대가구-모+미혼자녀","","58980",
"서울특별시","계","55~59세","2세대가구-부부+양친","","1005",
"서울특별시","계","55~59세","2세대가구-부부+한부모","","5649",
"서울특별시","계","55~59세","2세대가구-부부+미혼자녀+부부미혼형제자매","","3422",
"서울특별시","계","55~59세","2세대가구-조부모+미혼손자녀","","689",
"서울특별시","계","55~59세","2세대가구-조부 또는 조모+미혼손자녀","","239",
"서울특별시","계","55~59세","2세대가구-기타","","43710",
"서울특별시","계","55~59세","3세대가구-계","","40860",
"서울특별시","계","55~59세","3세대가구-부부+미혼자녀+양친","","3235",
"서울특별시","계","55~59세","3세대가구-부부+미혼자녀+부친","","2405",
"서울특별시","계","55~59세","3세대가구-부부+미혼자녀+모친","","18827",
"서울특별시","계","55~59세","3세대가구-기타","","16393",
"서울특별시","계","55~59세","4세대이상 가구","","360",
"서울특별시","계","55~59세","1인가구","","84285",
"서울특별시","계","55~59세","비친족가구","","11708",
"서울특별시","계","60~64세","일반가구원","","664875",
"서울특별시","계","60~64세","1세대가구-계","","194513",
"서울특별시","계","60~64세","1세대가구-부부","","181737",
"서울특별시","계","60~64세","1세대가구-부부+미혼형제자매","","1228",
"서울특별시","계","60~64세","1세대가구-부부+기타 친인척","","539",
"서울특별시","계","60~64세","1세대가구-가구주+미혼형제자매","","1964",
"서울특별시","계","60~64세","1세대가구-가구주+기타 친인척","","849",
"서울특별시","계","60~64세","1세대가구-기타","","8196",
"서울특별시","계","60~64세","2세대가구-계","","331121",
"서울특별시","계","60~64세","2세대가구-부부+미혼자녀","","219496",
"서울특별시","계","60~64세","2세대가구-부+미혼자녀","","13872",
"서울특별시","계","60~64세","2세대가구-모+미혼자녀","","42547",
"서울특별시","계","60~64세","2세대가구-부부+양친","","1485",
"서울특별시","계","60~64세","2세대가구-부부+한부모","","7126",
"서울특별시","계","60~64세","2세대가구-부부+미혼자녀+부부미혼형제자매","","1866",
"서울특별시","계","60~64세","2세대가구-조부모+미혼손자녀","","2387",
"서울특별시","계","60~64세","2세대가구-조부 또는 조모+미혼손자녀","","641",
"서울특별시","계","60~64세","2세대가구-기타","","41701",
"서울특별시","계","60~64세","3세대가구-계","","39526",
"서울특별시","계","60~64세","3세대가구-부부+미혼자녀+양친","","6071",
"서울특별시","계","60~64세","3세대가구-부부+미혼자녀+부친","","2039",
"서울특별시","계","60~64세","3세대가구-부부+미혼자녀+모친","","13694",
"서울특별시","계","60~64세","3세대가구-기타","","17722",
"서울특별시","계","60~64세","4세대이상 가구","","559",
"서울특별시","계","60~64세","1인가구","","88456",
"서울특별시","계","60~64세","비친족가구","","10700",
"서울특별시","계","65~69세","일반가구원","","465250",
"서울특별시","계","65~69세","1세대가구-계","","177690",
"서울특별시","계","65~69세","1세대가구-부부","","169269",
"서울특별시","계","65~69세","1세대가구-부부+미혼형제자매","","775",
"서울특별시","계","65~69세","1세대가구-부부+기타 친인척","","487",
"서울특별시","계","65~69세","1세대가구-가구주+미혼형제자매","","942",
"서울특별시","계","65~69세","1세대가구-가구주+기타 친인척","","580",
"서울특별시","계","65~69세","1세대가구-기타","","5637",
"서울특별시","계","65~69세","2세대가구-계","","176611",
"서울특별시","계","65~69세","2세대가구-부부+미혼자녀","","102615",
"서울특별시","계","65~69세","2세대가구-부+미혼자녀","","7410",
"서울특별시","계","65~69세","2세대가구-모+미혼자녀","","24811",
"서울특별시","계","65~69세","2세대가구-부부+양친","","1219",
"서울특별시","계","65~69세","2세대가구-부부+한부모","","4711",
"서울특별시","계","65~69세","2세대가구-부부+미혼자녀+부부미혼형제자매","","774",
"서울특별시","계","65~69세","2세대가구-조부모+미혼손자녀","","3276",
"서울특별시","계","65~69세","2세대가구-조부 또는 조모+미혼손자녀","","1049",
"서울특별시","계","65~69세","2세대가구-기타","","30746",
"서울특별시","계","65~69세","3세대가구-계","","36027",
"서울특별시","계","65~69세","3세대가구-부부+미혼자녀+양친","","7848",
"서울특별시","계","65~69세","3세대가구-부부+미혼자녀+부친","","2019",
"서울특별시","계","65~69세","3세대가구-부부+미혼자녀+모친","","9591",
"서울특별시","계","65~69세","3세대가구-기타","","16569",
"서울특별시","계","65~69세","4세대이상 가구","","387",
"서울특별시","계","65~69세","1인가구","","67696",
"서울특별시","계","65~69세","비친족가구","","6839",
"서울특별시","계","70~74세","일반가구원","","370242",
"서울특별시","계","70~74세","1세대가구-계","","145800",
"서울특별시","계","70~74세","1세대가구-부부","","140005",
"서울특별시","계","70~74세","1세대가구-부부+미혼형제자매","","532",
"서울특별시","계","70~74세","1세대가구-부부+기타 친인척","","444",
"서울특별시","계","70~74세","1세대가구-가구주+미혼형제자매","","538",
"서울특별시","계","70~74세","1세대가구-가구주+기타 친인척","","509",
"서울특별시","계","70~74세","1세대가구-기타","","3772",
"서울특별시","계","70~74세","2세대가구-계","","120146",
"서울특별시","계","70~74세","2세대가구-부부+미혼자녀","","58395",
"서울특별시","계","70~74세","2세대가구-부+미혼자녀","","4994",
"서울특별시","계","70~74세","2세대가구-모+미혼자녀","","20428",
"서울특별시","계","70~74세","2세대가구-부부+양친","","1010",
"서울특별시","계","70~74세","2세대가구-부부+한부모","","2818",
"서울특별시","계","70~74세","2세대가구-부부+미혼자녀+부부미혼형제자매","","356",
"서울특별시","계","70~74세","2세대가구-조부모+미혼손자녀","","3500",
"서울특별시","계","70~74세","2세대가구-조부 또는 조모+미혼손자녀","","1684",
"서울특별시","계","70~74세","2세대가구-기타","","26961",
"서울특별시","계","70~74세","3세대가구-계","","37866",
"서울특별시","계","70~74세","3세대가구-부부+미혼자녀+양친","","8026",
"서울특별시","계","70~74세","3세대가구-부부+미혼자녀+부친","","2297",
"서울특별시","계","70~74세","3세대가구-부부+미혼자녀+모친","","10113",
"서울특별시","계","70~74세","3세대가구-기타","","17430",
"서울특별시","계","70~74세","4세대이상 가구","","228",
"서울특별시","계","70~74세","1인가구","","61035",
"서울특별시","계","70~74세","비친족가구","","5167",
"서울특별시","계","75~79세","일반가구원","","280007",
"서울특별시","계","75~79세","1세대가구-계","","100296",
"서울특별시","계","75~79세","1세대가구-부부","","96857",
"서울특별시","계","75~79세","1세대가구-부부+미혼형제자매","","262",
"서울특별시","계","75~79세","1세대가구-부부+기타 친인척","","267",
"서울특별시","계","75~79세","1세대가구-가구주+미혼형제자매","","247",
"서울특별시","계","75~79세","1세대가구-가구주+기타 친인척","","402",
"서울특별시","계","75~79세","1세대가구-기타","","2261",
"서울특별시","계","75~79세","2세대가구-계","","85261",
"서울특별시","계","75~79세","2세대가구-부부+미혼자녀","","31636",
"서울특별시","계","75~79세","2세대가구-부+미혼자녀","","3605",
"서울특별시","계","75~79세","2세대가구-모+미혼자녀","","16183",
"서울특별시","계","75~79세","2세대가구-부부+양친","","981",
"서울특별시","계","75~79세","2세대가구-부부+한부모","","2346",
"서울특별시","계","75~79세","2세대가구-부부+미혼자녀+부부미혼형제자매","","140",
"서울특별시","계","75~79세","2세대가구-조부모+미혼손자녀","","3802",
"서울특별시","계","75~79세","2세대가구-조부 또는 조모+미혼손자녀","","2882",
"서울특별시","계","75~79세","2세대가구-기타","","23686",
"서울특별시","계","75~79세","3세대가구-계","","38650",
"서울특별시","계","75~79세","3세대가구-부부+미혼자녀+양친","","6715",
"서울특별시","계","75~79세","3세대가구-부부+미혼자녀+부친","","2654",
"서울특별시","계","75~79세","3세대가구-부부+미혼자녀+모친","","11697",
"서울특별시","계","75~79세","3세대가구-기타","","17584",
"서울특별시","계","75~79세","4세대이상 가구","","120",
"서울특별시","계","75~79세","1인가구","","51747",
"서울특별시","계","75~79세","비친족가구","","3933",
"서울특별시","계","80~84세","일반가구원","","163363",
"서울특별시","계","80~84세","1세대가구-계","","46039",
"서울특별시","계","80~84세","1세대가구-부부","","44400",
"서울특별시","계","80~84세","1세대가구-부부+미혼형제자매","","95",
"서울특별시","계","80~84세","1세대가구-부부+기타 친인척","","106",
"서울특별시","계","80~84세","1세대가구-가구주+미혼형제자매","","125",
"서울특별시","계","80~84세","1세대가구-가구주+기타 친인척","","228",
"서울특별시","계","80~84세","1세대가구-기타","","1085",
"서울특별시","계","80~84세","2세대가구-계","","48457",
"서울특별시","계","80~84세","2세대가구-부부+미혼자녀","","11285",
"서울특별시","계","80~84세","2세대가구-부+미혼자녀","","1985",
"서울특별시","계","80~84세","2세대가구-모+미혼자녀","","9636",
"서울특별시","계","80~84세","2세대가구-부부+양친","","693",
"서울특별시","계","80~84세","2세대가구-부부+한부모","","2936",
"서울특별시","계","80~84세","2세대가구-부부+미혼자녀+부부미혼형제자매","","38",
"서울특별시","계","80~84세","2세대가구-조부모+미혼손자녀","","2441",
"서울특별시","계","80~84세","2세대가구-조부 또는 조모+미혼손자녀","","3114",
"서울특별시","계","80~84세","2세대가구-기타","","16329",
"서울특별시","계","80~84세","3세대가구-계","","30806",
"서울특별시","계","80~84세","3세대가구-부부+미혼자녀+양친","","3889",
"서울특별시","계","80~84세","3세대가구-부부+미혼자녀+부친","","2209",
"서울특별시","계","80~84세","3세대가구-부부+미혼자녀+모친","","11480",
"서울특별시","계","80~84세","3세대가구-기타","","13228",
"서울특별시","계","80~84세","4세대이상 가구","","227",
"서울특별시","계","80~84세","1인가구","","35227",
"서울특별시","계","80~84세","비친족가구","","2607",
"서울특별시","계","85세이상","일반가구원","","96792",
"서울특별시","계","85세이상","1세대가구-계","","15587",
"서울특별시","계","85세이상","1세대가구-부부","","14752",
"서울특별시","계","85세이상","1세대가구-부부+미혼형제자매","","25",
"서울특별시","계","85세이상","1세대가구-부부+기타 친인척","","77",
"서울특별시","계","85세이상","1세대가구-가구주+미혼형제자매","","50",
"서울특별시","계","85세이상","1세대가구-가구주+기타 친인척","","152",
"서울특별시","계","85세이상","1세대가구-기타","","531",
"서울특별시","계","85세이상","2세대가구-계","","32036",
"서울특별시","계","85세이상","2세대가구-부부+미혼자녀","","2955",
"서울특별시","계","85세이상","2세대가구-부+미혼자녀","","999",
"서울특별시","계","85세이상","2세대가구-모+미혼자녀","","5737",
"서울특별시","계","85세이상","2세대가구-부부+양친","","559",
"서울특별시","계","85세이상","2세대가구-부부+한부모","","6186",
"서울특별시","계","85세이상","2세대가구-부부+미혼자녀+부부미혼형제자매","","7",
"서울특별시","계","85세이상","2세대가구-조부모+미혼손자녀","","1037",
"서울특별시","계","85세이상","2세대가구-조부 또는 조모+미혼손자녀","","2562",
